
103,Adaptive Server - Data Replication with SQL Remote,Sybase,Web Technology,1997,0
309,COMPUTER PRACTICE VOLUME 1,VIKAS,FOCP,2002,0
379,COMPUTER PROGRAMMING LEBORATORY,VRB PUBLISHERS,FOCP,2006,242
381,DATA STRUCTURES,ANURADHA,Data Structures,2005,130
383,COMPUTER FUNDAMENTALS AND PROGRAMMING IN C,OXFORD,FOCP,2006,0
384,COMPUTER PROGRAMMING,VRB PUBLISHERS,FOCP,2006,350
385,Computer Fundamentals Architecture and Organization,New Age International,Architechture,2006,230
386,FUNDAMENTAL OF COMPUTER,VRB PUBLISHERS,FOCP,2005,296
387,FUNDAMENTALS OF COMPUTING,KAMAKHYA,FOCP,2004,175
389,Computer Practice,Anuradha Agencies,Programming,2002,120
392,PROGRAMMING LANGUAGES,MC GRAW-HILL,FOCP,2002,0
393,Advanced Microprocessor And Pehriperals,Tata McGraw Hill,Microprocessors and Microcontrollers,2003,200
394,Electronic Circuits,Technical,Digital Principles and System Design,2004,190
397,Fundamentals Of Computer Architecture,Vijay Nicole Imprints,Architecture,2006,0
398,"THE INTEL 8086/8088 MICROPROCESSOR ARCHITECTURE,PROGRAMMING DESIGN &INTERFACING",DHANPAT RAI,Microprocessors and Microcontrollers,2002,225
400,COMPUTER PRACTICE 1,AASSAAN EDUCARE,FOCP,2000,225
401,COMPUTER PRACTICE 1,VRB PUBLISHERS,FOCP,2005,297
403,Computer Practice - I,VRB,FOCP,2003,0
404,Computer Practice -1,VRB publication,Data Structures,2003,0
406,Modern Processor Design,Tata McGraw Hill,Microprocessors and Microcontrollers,2005,450
407,PROGRAMMING AND DATA STRUCTURES,PEARSON,Data Structures,2004,0
416,Digital Principles and System Design,Technical,Digital Principles and System Design,2005,290
426,Programming With C,Vikas Publishing House,Programming,2002,150
428,COMPUTER PRACTICE 2,VIKAS,FOCP,2005,0
429,Programming In ANSI C,Tata McGraw-Hill,Programming,2002,150
430,Visual Programming,Anuradha Agencies,Visual Programming,2003,270
433,Unix and Shell Programming - A Textbook,Thomson Brooks/Cole,Operating Systems,2003,0
435,COMPUTER PRACTICE 1,VRB PUBLISHERS,FOCP,2005,297
440,Computer Concepts and C programming,Sapna Book House,Programming,2007,0
466,Programming Microsoft Visual C#2008:The Language,Microsoft Press,Visual Programming,2008,699
467,CLR via C#,WP Publishers & Distributors Ltd,Programming,2006,599
9573,DATA STRUSTURES AND PROGRAMING DESIGN IN C,PRENTICE HALL,Data Structures,1997,125
9719,10 minutes Guide To HTMl,Prentice Hall of India Pvt ltd,Programming,1995,75
11065,Digital Logic and Computer Design,Prentice Hall of India Pvt ltd,Digital Principles and System Design,1997,150
11068,Operating System Design And Implementation,Prentice Hall Of India,Operating Systems,1997,395
11069,Structured Computer Organization,Prentice Hall of India,Architecture,1997,150
11079,Computer Graphics,Prentice Hall of India Pvt Ltd,Graphics And Multimedia,1997,395
11080,Principles of Interactive Computer Graphics,Tata McGraw Hill Publishing Company Pvt Ltd,Graphics And Multimedia,1997,215
11081,Programming With Fortan 77,"NEW AGE INTERNATIONAL (P) LIMITED,PUBLISHERS",Visual Programming,1996,135
11082,Cobol Programming including Ms-COBOL and COBOL-85,Tata McGraw-Hill,Programming,1997,140
11083,Programming with Structured COBOL,Macmillan India ltd,Programming,1989,135
11086,Advanced Computer Architecture,Prentice Hall of India,Architecture,1996,1061
11090,An Introduction To Database System,Wesley,Oracle,1995,277
11091,SQL Server 6.5 Secrets,IDG,Oracle,1996,450
11092,IBM PC Assembly Language And Programming,Prentice Hall of India Pvt ltd,Theory of Computation,1997,175
11093,Developing PowerBuilder 5 Applications,Prentice Hall of India Private Ltd,Web Technology,1997,350
11094,System Simulation,Prentice Hall,Digital Signal Processing,1997,125
11097,Fundamentals Of Computers,Prentice Hall of India Pvt ltd,Theory Of Computing,1996,95
11100,Computer System Architecture,Prentice Hall of India,Architecture,1993,150
11102,IBM PC And Clones,Tata McGraw Hill,General,1997,395
11107,Oracle The Complete Reference,Tata McGraw-Hill,Oracle,1997,350
11109,Windows 95 Secrets,Comdex Computer Publishing,General,1997,450
11110,Oracle PL/SQL,Tata McGraw-Hill,Oracle,1997,275
11111,Oracle 7.3 Developer Guide,Techmedia,Oracle,1997,399
11112,Teach Yourself Visual C++ 5 IN 21 Days,Techmedia,Visual Programming,1997,270
11113,Visual Basic 5 Secrets,Comdex Computer Publishing,Visual Programming,1997,325
11114,Inside The Pc,Prentice Hall Of India,General,1997,195
11115,10 Minute  Guide To Windows NT 3.51 Workstation,Prentice Hall Of India,General,1996,75
14005,Java Source Book,Galgotia,Java,0,295
14040,Digital Systems,New Age International Pvt Ltd,Digital Principles and System Design,1992,155
14041,Microprocessor And Microcomputer based System Design,UBS,Microprocessors and Microcontrollers,1998,250
